city,time,pm2_5,pm10,ozone
bengaluru,2025-12-11 00:00:00,50.9,53.3,119
kolkata,2025-12-11 00:00:00,187.2,190.5,44
mumbai,2025-12-11 00:00:00,30.7,30.7,26
bengaluru,2025-12-11 00:00:00,50.9,53.3,119
delhi,2025-12-11 00:00:00,105.2,106.2,45
delhi,2025-12-11 00:00:00,105.2,106.2,45
hyderabad,2025-12-11 00:00:00,29.5,30.4,92
kolkata,2025-12-11 00:00:00,187.2,190.5,44
mumbai,2025-12-11 00:00:00,30.7,30.7,26
hyderabad,2025-12-11 00:00:00,29.5,30.4,92
bengaluru,2025-12-11 01:00:00,53.9,56.2,120
hyderabad,2025-12-11 01:00:00,29.0,29.7,86
mumbai,2025-12-11 01:00:00,29.8,29.9,23
kolkata,2025-12-11 01:00:00,183.9,186.3,57
kolkata,2025-12-11 01:00:00,183.9,186.3,57
delhi,2025-12-11 01:00:00,110.1,111.1,37
bengaluru,2025-12-11 01:00:00,53.9,56.2,120
delhi,2025-12-11 01:00:00,110.1,111.1,37
mumbai,2025-12-11 01:00:00,29.8,29.9,23
hyderabad,2025-12-11 01:00:00,29.0,29.7,86
bengaluru,2025-12-11 02:00:00,57.5,59.8,120
hyderabad,2025-12-11 02:00:00,30.2,30.7,79
mumbai,2025-12-11 02:00:00,32.2,32.4,24
kolkata,2025-12-11 02:00:00,176.0,178.3,76
delhi,2025-12-11 02:00:00,124.3,125.3,28
mumbai,2025-12-11 02:00:00,32.2,32.4,24
kolkata,2025-12-11 02:00:00,176.0,178.3,76
bengaluru,2025-12-11 02:00:00,57.5,59.8,120
delhi,2025-12-11 02:00:00,124.3,125.3,28
hyderabad,2025-12-11 02:00:00,30.2,30.7,79
bengaluru,2025-12-11 03:00:00,58.2,60.8,123
hyderabad,2025-12-11 03:00:00,27.1,27.4,82
mumbai,2025-12-11 03:00:00,36.2,36.3,40
mumbai,2025-12-11 03:00:00,36.2,36.3,40
bengaluru,2025-12-11 03:00:00,58.2,60.8,123
kolkata,2025-12-11 03:00:00,167.2,169.0,102
kolkata,2025-12-11 03:00:00,167.2,169.0,102
hyderabad,2025-12-11 03:00:00,27.1,27.4,82
delhi,2025-12-11 03:00:00,130.4,131.3,36
delhi,2025-12-11 03:00:00,130.4,131.3,36
kolkata,2025-12-11 04:00:00,154.6,156.9,142
mumbai,2025-12-11 04:00:00,38.8,38.8,84
hyderabad,2025-12-11 04:00:00,21.7,22.0,105
kolkata,2025-12-11 04:00:00,154.6,156.9,142
bengaluru,2025-12-11 04:00:00,53.4,56.7,135
bengaluru,2025-12-11 04:00:00,53.4,56.7,135
mumbai,2025-12-11 04:00:00,38.8,38.8,84
hyderabad,2025-12-11 04:00:00,21.7,22.0,105
delhi,2025-12-11 04:00:00,123.9,124.3,79
delhi,2025-12-11 04:00:00,123.9,124.3,79
hyderabad,2025-12-11 05:00:00,18.5,18.9,139
delhi,2025-12-11 05:00:00,110.8,111.5,139
bengaluru,2025-12-11 05:00:00,45.5,48.4,150
mumbai,2025-12-11 05:00:00,39.7,39.7,143
delhi,2025-12-11 05:00:00,110.8,111.5,139
kolkata,2025-12-11 05:00:00,127.6,131.3,189
hyderabad,2025-12-11 05:00:00,18.5,18.9,139
mumbai,2025-12-11 05:00:00,39.7,39.7,143
bengaluru,2025-12-11 05:00:00,45.5,48.4,150
kolkata,2025-12-11 05:00:00,127.6,131.3,189
mumbai,2025-12-11 06:00:00,38.6,38.6,198
bengaluru,2025-12-11 06:00:00,40.7,43.1,160
bengaluru,2025-12-11 06:00:00,40.7,43.1,160
delhi,2025-12-11 06:00:00,90.3,91.0,183
delhi,2025-12-11 06:00:00,90.3,91.0,183
hyderabad,2025-12-11 06:00:00,16.8,17.2,163
mumbai,2025-12-11 06:00:00,38.6,38.6,198
hyderabad,2025-12-11 06:00:00,16.8,17.2,163
kolkata,2025-12-11 06:00:00,90.6,96.6,223
kolkata,2025-12-11 06:00:00,90.6,96.6,223
hyderabad,2025-12-11 07:00:00,16.3,16.6,171
mumbai,2025-12-11 07:00:00,40.2,40.2,248
mumbai,2025-12-11 07:00:00,40.2,40.2,248
kolkata,2025-12-11 07:00:00,82.0,88.5,236
bengaluru,2025-12-11 07:00:00,38.2,40.2,161
delhi,2025-12-11 07:00:00,71.2,71.9,199
bengaluru,2025-12-11 07:00:00,38.2,40.2,161
hyderabad,2025-12-11 07:00:00,16.3,16.6,171
delhi,2025-12-11 07:00:00,71.2,71.9,199
kolkata,2025-12-11 07:00:00,82.0,88.5,236
bengaluru,2025-12-11 08:00:00,36.4,38.5,157
mumbai,2025-12-11 08:00:00,47.4,47.4,292
kolkata,2025-12-11 08:00:00,78.5,84.8,236
bengaluru,2025-12-11 08:00:00,36.4,38.5,157
hyderabad,2025-12-11 08:00:00,15.7,16.0,169
mumbai,2025-12-11 08:00:00,47.4,47.4,292
kolkata,2025-12-11 08:00:00,78.5,84.8,236
hyderabad,2025-12-11 08:00:00,15.7,16.0,169
delhi,2025-12-11 08:00:00,61.7,62.2,199
delhi,2025-12-11 08:00:00,61.7,62.2,199
bengaluru,2025-12-11 09:00:00,36.2,38.3,150
bengaluru,2025-12-11 09:00:00,36.2,38.3,150
hyderabad,2025-12-11 09:00:00,15.0,15.3,163
delhi,2025-12-11 09:00:00,55.5,56.0,188
mumbai,2025-12-11 09:00:00,49.5,49.7,313
mumbai,2025-12-11 09:00:00,49.5,49.7,313
hyderabad,2025-12-11 09:00:00,15.0,15.3,163
kolkata,2025-12-11 09:00:00,77.3,83.6,226
delhi,2025-12-11 09:00:00,55.5,56.0,188
kolkata,2025-12-11 09:00:00,77.3,83.6,226
bengaluru,2025-12-11 10:00:00,36.8,38.9,141
hyderabad,2025-12-11 10:00:00,14.6,15.0,152
mumbai,2025-12-11 10:00:00,47.8,48.3,293
mumbai,2025-12-11 10:00:00,47.8,48.3,293
hyderabad,2025-12-11 10:00:00,14.6,15.0,152
delhi,2025-12-11 10:00:00,52.0,52.5,163
bengaluru,2025-12-11 10:00:00,36.8,38.9,141
delhi,2025-12-11 10:00:00,52.0,52.5,163
kolkata,2025-12-11 10:00:00,77.1,82.9,204
kolkata,2025-12-11 10:00:00,77.1,82.9,204
hyderabad,2025-12-11 11:00:00,14.6,15.0,136
bengaluru,2025-12-11 11:00:00,38.3,40.2,129
delhi,2025-12-11 11:00:00,55.1,55.4,126
mumbai,2025-12-11 11:00:00,43.7,44.4,250
mumbai,2025-12-11 11:00:00,43.7,44.4,250
delhi,2025-12-11 11:00:00,55.1,55.4,126
bengaluru,2025-12-11 11:00:00,38.3,40.2,129
kolkata,2025-12-11 11:00:00,95.5,100.1,173
kolkata,2025-12-11 11:00:00,95.5,100.1,173
hyderabad,2025-12-11 11:00:00,14.6,15.0,136
kolkata,2025-12-11 12:00:00,120.6,125.7,142
hyderabad,2025-12-11 12:00:00,18.1,18.4,119
mumbai,2025-12-11 12:00:00,35.5,36.3,209
bengaluru,2025-12-11 12:00:00,41.9,43.4,116
bengaluru,2025-12-11 12:00:00,41.9,43.4,116
kolkata,2025-12-11 12:00:00,120.6,125.7,142
hyderabad,2025-12-11 12:00:00,18.1,18.4,119
delhi,2025-12-11 12:00:00,69.6,69.8,94
delhi,2025-12-11 12:00:00,69.6,69.8,94
mumbai,2025-12-11 12:00:00,35.5,36.3,209
hyderabad,2025-12-11 13:00:00,24.0,24.3,102
kolkata,2025-12-11 13:00:00,145.3,149.9,114
delhi,2025-12-11 13:00:00,85.2,85.4,70
bengaluru,2025-12-11 13:00:00,47.0,48.2,101
mumbai,2025-12-11 13:00:00,27.4,28.5,181
hyderabad,2025-12-11 13:00:00,24.0,24.3,102
mumbai,2025-12-11 13:00:00,27.4,28.5,181
bengaluru,2025-12-11 13:00:00,47.0,48.2,101
delhi,2025-12-11 13:00:00,85.2,85.4,70
kolkata,2025-12-11 13:00:00,145.3,149.9,114
hyderabad,2025-12-11 14:00:00,27.8,28.2,84
delhi,2025-12-11 14:00:00,96.4,96.9,49
mumbai,2025-12-11 14:00:00,23.3,24.5,156
kolkata,2025-12-11 14:00:00,165.8,170.4,87
bengaluru,2025-12-11 14:00:00,50.5,51.6,86
mumbai,2025-12-11 14:00:00,23.3,24.5,156
bengaluru,2025-12-11 14:00:00,50.5,51.6,86
hyderabad,2025-12-11 14:00:00,27.8,28.2,84
delhi,2025-12-11 14:00:00,96.4,96.9,49
kolkata,2025-12-11 14:00:00,165.8,170.4,87
mumbai,2025-12-11 15:00:00,23.6,24.6,135
bengaluru,2025-12-11 15:00:00,51.8,53.0,75
hyderabad,2025-12-11 15:00:00,30.3,30.7,72
hyderabad,2025-12-11 15:00:00,30.3,30.7,72
kolkata,2025-12-11 15:00:00,181.1,185.8,65
delhi,2025-12-11 15:00:00,107.8,108.3,34
delhi,2025-12-11 15:00:00,107.8,108.3,34
mumbai,2025-12-11 15:00:00,23.6,24.6,135
bengaluru,2025-12-11 15:00:00,51.8,53.0,75
kolkata,2025-12-11 15:00:00,181.1,185.8,65
delhi,2025-12-11 16:00:00,121.1,121.5,27
bengaluru,2025-12-11 16:00:00,52.4,53.4,72
mumbai,2025-12-11 16:00:00,26.7,27.5,117
mumbai,2025-12-11 16:00:00,26.7,27.5,117
bengaluru,2025-12-11 16:00:00,52.4,53.4,72
